gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
male,29,30,European/Caucasian-American,European/Caucasian-American,1,3,3,Business,10.0,18.0,20.0,16.0,16.0,20.0,30.0,15.0,15.0,20.0,10.0,10.0,6,8,7,7,8,4.0,5.0,6.0,5.0,6.0,4.0,7,4,4,8,5,5,4,2,7,5,2,6,8,6,7,2,1,0.31,6,4.0,0
male,34,26,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,2,6,genetics,20.0,30.0,10.0,15.0,10.0,15.0,30.0,10.0,30.0,10.0,5.0,15.0,5,4,5,10,9,4.0,5.0,5.0,5.0,3.0,3.0,7,1,8,7,7,4,3,2,1,10,1,3,5,9,10,2,5,-0.39,5,3.0,0
male,23,36,European/Caucasian-American,European/Caucasian-American,1,3,4,'physics [astrophysics]',18.18,18.18,18.18,18.18,13.64,13.64,19.05,19.05,19.05,19.05,9.52,14.29,7,9,7,9,6,8.0,9.0,8.0,7.0,7.0,8.0,2,4,4,6,7,4,7,7,6,8,6,5,8,4,9,5,1,0.26,7,9.0,1
male,24,26,Other,'Asian/Pacific Islander/Asian-American',0,1,1,'Intrernational Affairs',20.0,10.0,25.0,25.0,10.0,10.0,20.0,10.0,25.0,20.0,10.0,15.0,6,8,8,8,7,9.0,6.0,8.0,7.0,9.0,7.0,4,6,4,8,9,7,3,8,9,9,9,7,9,8,9,8,4,0.4,4,6.0,1
male,27,30,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,1,business,10.0,20.0,20.0,10.0,10.0,30.0,75.0,5.0,5.0,5.0,5.0,5.0,7,7,8,8,8,7.0,6.0,7.0,7.0,8.0,9.0,10,10,10,5,8,8,0,7,3,8,6,5,5,8,8,4,4,-0.19,4,8.0,0
male,23,24,European/Caucasian-American,European/Caucasian-American,1,1,1,'Computer Science',10.0,20.0,20.0,20.0,20.0,10.0,30.0,0.0,30.0,15.0,15.0,10.0,7,5,6,8,8,7.0,7.0,7.0,7.0,7.0,7.0,1,1,2,4,4,4,8,1,3,6,1,5,6,7,7,3,1,0.48,7,6.0,1
female,28,27,European/Caucasian-American,European/Caucasian-American,1,8,1,Film,75.0,5.0,5.0,5.0,5.0,5.0,25.0,25.0,25.0,10.0,10.0,5.0,7,7,7,7,10,5.0,8.0,8.0,8.0,8.0,8.0,6,5,10,10,9,9,6,8,3,8,10,8,10,9,9,9,1,0.19,6,5.0,0
male,21,26,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,1,'Operations Research',20.0,30.0,10.0,15.0,10.0,15.0,25.0,10.0,25.0,5.0,10.0,25.0,10,7,6,10,10,5.0,6.0,7.0,5.0,6.0,5.0,9,1,10,6,7,7,4,6,5,10,1,9,7,7,9,5,9,-0.48,6,5.0,1
female,26,24,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',0,2,2,Nutritiron,30.0,10.0,20.0,20.0,10.0,10.0,20.0,30.0,10.0,15.0,10.0,15.0,7,6,5,7,7,4.0,6.0,5.0,5.0,5.0,4.0,4,8,5,9,7,6,4,7,8,3,9,5,9,4,9,10,2,0.1,4,5.0,0
female,27,30,'Latino/Hispanic American',European/Caucasian-American,0,5,7,'Electrical Engineering',20.0,10.0,22.0,20.0,15.0,13.0,16.0,19.0,16.0,17.0,15.0,17.0,6,8,7,7,7,6.0,6.0,7.0,8.0,7.0,7.0,9,6,7,8,6,8,8,4,7,7,4,7,8,7,7,6,4,0.51,7,6.0,1
female,27,26,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',0,3,1,chemistry,10.0,20.0,20.0,22.0,6.0,22.0,10.0,20.0,20.0,10.0,20.0,20.0,8,8,8,8,8,6.0,7.0,8.0,7.0,8.0,7.0,8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2,-0.36,7,7.0,0
male,27,28,'Black/African American',Other,0,2,1,Business,25.0,15.0,25.0,15.0,10.0,10.0,40.0,20.0,20.0,20.0,0.0,0.0,7,8,3,8,5,5.0,6.0,7.0,7.0,6.0,5.0,6,1,7,6,7,3,2,1,7,10,2,5,6,7,7,7,1,0.49,3,8.0,0
female,21,19,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,8,1,'psychology and english',25.0,10.0,20.0,20.0,10.0,15.0,35.0,15.0,5.0,30.0,15.0,0.0,2,9,9,7,9,7.0,10.0,10.0,8.0,10.0,1.0,2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10,4,0.52,2,9.0,1
female,30,23,European/Caucasian-American,European/Caucasian-American,1,5,7,'MA Teaching Social Studies',25.0,5.0,30.0,15.0,5.0,20.0,10.0,18.0,20.0,16.0,16.0,20.0,7,10,8,8,8,5.0,7.0,7.0,7.0,7.0,7.0,7,8,8,5,7,5,3,1,2,10,7,10,10,8,8,5,8,0.33,6,6.0,0
male,26,26,European/Caucasian-American,European/Caucasian-American,1,7,7,Finance,19.61,15.69,17.65,15.69,17.65,13.73,20.0,16.0,18.0,16.0,16.0,14.0,7,10,8,10,10,4.0,4.0,5.0,5.0,5.0,5.0,7,7,7,10,9,7,2,6,5,10,8,8,9,5,7,5,1,0.31,5,3.0,0
female,29,28,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,2,'International Educational Development',20.0,20.0,20.0,10.0,10.0,20.0,10.0,20.0,20.0,20.0,20.0,10.0,9,10,9,9,9,4.0,3.0,9.0,3.0,8.0,5.0,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,0.64,5,3.0,0
female,23,26,European/Caucasian-American,European/Caucasian-American,1,9,1,Law,50.0,10.0,10.0,30.0,0.0,0.0,28.0,8.0,17.0,22.0,17.0,8.0,9,8,10,7,6,10.0,9.0,9.0,10.0,10.0,9.0,8,5,9,10,8,7,8,5,1,9,10,8,10,6,10,10,4,0.11,5,9.0,0
male,30,26,European/Caucasian-American,'Latino/Hispanic American',0,1,1,MBA,15.0,15.0,15.0,20.0,20.0,15.0,31.58,10.53,15.79,21.05,10.53,10.53,8,2,9,9,9,8.0,6.0,7.0,7.0,7.0,6.0,7,3,3,9,9,10,8,4,8,8,1,5,7,9,10,5,5,0.32,8,7.0,1
male,25,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,'Earth and Environmental Science',15.0,15.0,20.0,20.0,20.0,10.0,20.0,30.0,10.0,15.0,0.0,25.0,5,10,2,8,4,8.0,7.0,7.0,7.0,2.0,3.0,5,4,7,1,3,2,9,4,2,5,3,3,3,3,3,2,6,-0.63,6,7.0,1
male,30,25,European/Caucasian-American,European/Caucasian-American,1,1,1,'political science',9.09,18.18,27.27,18.18,18.18,9.09,35.0,15.0,25.0,10.0,5.0,10.0,7,7,6,8,4,6.0,4.0,7.0,5.0,6.0,4.0,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,0.05,4,4.0,0
male,26,23,European/Caucasian-American,'Black/African American',0,2,3,Finanace,50.0,10.0,20.0,10.0,10.0,0.0,20.0,35.0,20.0,10.0,10.0,5.0,7,8,5,7,7,8.0,8.0,8.0,10.0,8.0,7.0,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,-0.32,7,8.0,1
male,27,25,European/Caucasian-American,'Latino/Hispanic American',0,8,3,'Mathematics; PhD',15.52,17.24,17.24,17.24,17.24,15.52,9.52,19.05,23.81,19.05,4.76,23.81,4,9,7,9,4,6.0,5.0,5.0,4.0,6.0,5.0,5,1,6,8,10,9,6,4,7,9,1,9,9,10,8,3,1,0.44,3,5.0,0
male,26,22,European/Caucasian-American,European/Caucasian-American,1,7,5,Business,15.0,20.0,20.0,20.0,15.0,10.0,18.0,18.0,18.0,19.0,13.0,14.0,7,9,8,10,7,4.0,6.0,5.0,6.0,5.0,5.0,10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,-0.2,6,4.0,0
female,27,23,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',1,3,2,Education,40.0,30.0,0.0,20.0,0.0,10.0,10.0,25.0,20.0,20.0,5.0,20.0,6,9,8,9,6,4.0,7.0,8.0,5.0,7.0,10.0,8,1,5,9,4,3,6,7,8,13,5,2,7,8,9,3,1,-0.06,9,7.0,1
female,21,24,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,100.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,6,8,8,8,7,5.0,6.0,6.0,8.0,10.0,8.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,-0.36,3,6.0,1
male,27,26,'Latino/Hispanic American','Asian/Pacific Islander/Asian-American',0,6,2,'MBA Finance',20.0,10.0,25.0,25.0,10.0,10.0,25.0,25.0,25.0,15.0,10.0,0.0,8,8,8,9,9,7.0,7.0,9.0,5.0,10.0,7.0,9,7,9,9,4,3,3,5,1,9,5,4,7,5,6,8,1,0.37,6,7.0,1
female,26,22,European/Caucasian-American,European/Caucasian-American,1,3,1,'Social Work',30.0,10.0,20.0,15.0,15.0,10.0,10.0,30.0,20.0,15.0,15.0,10.0,7,9,9,8,8,6.0,6.0,8.0,6.0,8.0,6.0,7,7,8,8,8,8,10,7,5,8,6,7,8,8,8,6,6,-0.16,6,7.0,0
male,28,26,'Latino/Hispanic American',European/Caucasian-American,0,4,4,MBA,18.18,22.73,18.18,13.64,13.64,13.64,20.83,20.83,16.67,16.67,6.25,18.75,7,9,8,8,6,8.0,9.0,8.0,8.0,6.0,5.0,10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6,-0.01,4,8.0,1
male,28,32,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',0,6,8,'Business [MBA]',30.0,30.0,30.0,5.0,0.0,5.0,20.0,20.0,20.0,10.0,10.0,20.0,6,9,9,9,7,6.0,7.0,6.0,6.0,6.0,5.0,7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,0.65,5,5.0,0
male,26,33,European/Caucasian-American,'Black/African American',0,7,7,Business,20.0,20.0,20.0,15.0,15.0,10.0,70.0,5.0,20.0,3.0,1.0,1.0,7,10,6,8,7,5.0,4.0,8.0,6.0,7.0,6.0,7,4,7,7,6,6,6,1,8,7,1,7,7,6,7,1,1,0.18,3,5.0,0
male,30,23,European/Caucasian-American,European/Caucasian-American,1,2,2,Finance&Economics,10.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,25.0,25.0,5.0,5.0,8,7,9,9,3,9.0,5.0,6.0,3.0,6.0,3.0,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1,0.09,8,6.0,0
male,25,24,Other,Other,1,1,1,'International Affairs',14.0,18.0,20.0,18.0,16.0,14.0,16.67,16.67,16.67,16.67,14.81,18.52,10,10,10,10,10,8.0,8.0,7.0,8.0,9.0,10.0,9,9,5,10,9,10,10,6,8,10,2,5,5,5,9,5,5,0.1,10,9.0,1
female,25,29,'Latino/Hispanic American',European/Caucasian-American,0,1,3,'Urban Planning',30.0,15.0,20.0,10.0,10.0,15.0,10.0,25.0,25.0,20.0,10.0,10.0,8,10,10,8,9,2.0,3.0,4.0,4.0,6.0,5.0,10,6,7,9,9,8,9,1,7,8,1,10,10,10,10,5,9,0.31,4,5.0,0
female,34,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,Biotechnology,25.0,20.0,15.0,20.0,5.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,7,9,8,10,7,10.0,9.0,8.0,8.0,8.0,8.0,7,5,5,8,8,8,8,6,6,9,8,8,9,9,9,7,7,0.54,7,8.0,0
male,30,27,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,1,'MBA - Private Equity / Real Estate',58.0,5.0,8.0,10.0,7.0,12.0,25.0,20.0,20.0,20.0,0.0,15.0,7,9,8,8,8,5.0,7.0,7.0,5.0,5.0,1.0,9,6,9,7,8,8,2,2,8,9,4,9,8,9,9,6,5,0.37,6,5.0,0
male,30,26,European/Caucasian-American,Other,0,1,1,'political science',20.0,10.0,20.0,30.0,10.0,10.0,35.0,15.0,25.0,10.0,5.0,10.0,7,7,6,8,4,8.0,6.0,7.0,8.0,6.0,5.0,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,0.21,4,8.0,1
female,29,28,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,Business,20.0,20.0,20.0,10.0,10.0,20.0,90.0,2.0,2.0,2.0,2.0,2.0,8,10,8,8,8,5.0,7.0,8.0,6.0,7.0,5.0,8,1,5,7,7,7,4,1,3,4,1,3,4,6,7,6,3,0.0,2,6.0,0
female,22,28,European/Caucasian-American,European/Caucasian-American,1,1,1,'Social Work',16.0,25.0,20.0,12.0,12.0,15.0,10.0,10.0,40.0,10.0,15.0,15.0,8,9,7,10,7,4.0,8.0,7.0,6.0,8.0,5.0,8,4,5,10,8,8,7,4,3,9,7,8,7,4,5,6,4,0.15,5,6.0,0
female,24,30,Other,'Latino/Hispanic American',0,2,1,'International Affairs and Public Health',18.6,20.93,23.26,23.26,2.33,11.63,14.0,18.0,20.0,18.0,16.0,14.0,7,8,9,9,7,10.0,10.0,10.0,10.0,10.0,10.0,6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,0.43,3,10.0,1
male,27,29,'Latino/Hispanic American',Other,0,6,2,'MBA Finance',20.0,20.0,20.0,10.0,10.0,20.0,25.0,25.0,25.0,15.0,10.0,0.0,8,8,8,9,9,7.0,9.0,9.0,8.0,8.0,7.0,9,7,9,9,4,3,3,5,1,9,5,4,7,5,6,8,1,0.05,6,7.0,1
male,23,24,European/Caucasian-American,European/Caucasian-American,1,5,5,'biomedical engineering',18.0,19.0,16.0,15.0,15.0,17.0,20.0,15.0,20.0,20.0,10.0,15.0,7,9,8,9,8,6.0,9.0,9.0,7.0,8.0,4.0,10,4,1,4,7,8,10,2,8,7,2,6,8,10,10,5,2,0.35,7,6.0,0
male,25,26,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,7,1,Biology,15.0,20.0,20.0,20.0,15.0,10.0,27.0,15.0,28.0,10.0,10.0,10.0,8,9,6,10,7,7.0,8.0,10.0,9.0,7.0,8.0,7,1,6,5,2,3,5,3,4,9,6,3,8,1,2,1,1,-0.01,7,4.0,0
male,29,24,European/Caucasian-American,'Latino/Hispanic American',0,8,4,chemistry,30.0,20.0,20.0,10.0,15.0,5.0,30.0,25.0,18.0,18.0,4.0,5.0,7,10,5,7,7,10.0,9.0,9.0,6.0,9.0,6.0,6,1,5,7,7,4,8,1,3,2,5,7,8,8,8,3,2,-0.21,5,10.0,1
male,28,32,European/Caucasian-American,'Latino/Hispanic American',0,1,1,Law,30.0,30.0,30.0,5.0,0.0,5.0,30.0,30.0,20.0,10.0,10.0,0.0,10,10,10,10,8,4.0,6.0,7.0,7.0,7.0,7.0,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5,0.67,8,7.0,0
male,25,35,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,8,'Clinical Psychology',15.0,15.0,30.0,15.0,15.0,10.0,17.0,18.0,28.0,27.0,5.0,5.0,6,9,9,10,7,6.0,8.0,8.0,4.0,5.0,4.0,2,6,2,6,7,7,7,1,1,10,3,7,5,6,8,1,1,0.75,7,4.0,1
male,26,24,European/Caucasian-American,European/Caucasian-American,1,5,3,business,22.0,17.0,15.0,15.0,15.0,16.0,10.0,10.0,30.0,30.0,5.0,15.0,7,9,7,8,6,7.0,7.0,6.0,6.0,6.0,6.0,6,7,5,7,5,3,5,5,4,6,8,6,9,6,6,7,0,0.54,8,7.0,0
female,24,24,Other,European/Caucasian-American,0,5,5,'Social Work',20.0,15.0,20.0,20.0,15.0,10.0,50.0,20.0,10.0,5.0,10.0,5.0,10,10,10,10,10,3.0,5.0,6.0,2.0,8.0,1.0,5,5,1,8,7,7,6,2,7,6,6,8,7,8,8,7,6,0.34,1,2.0,0
male,25,24,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',0,9,6,'Operations Research',20.0,20.0,20.0,15.0,15.0,10.0,25.0,20.0,25.0,20.0,10.0,0.0,3,10,8,9,5,3.0,10.0,9.0,10.0,4.0,4.0,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,0.07,3,3.0,0
female,24,27,Other,European/Caucasian-American,0,2,1,'International Affairs and Public Health',7.5,17.5,20.0,22.5,12.5,20.0,14.0,18.0,20.0,18.0,16.0,14.0,7,8,9,9,7,7.0,6.0,7.0,7.0,7.0,4.0,6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,0.66,3,4.0,0
female,24,27,Other,'Black/African American',0,5,5,'Social Work',40.0,20.0,20.0,20.0,0.0,0.0,50.0,20.0,10.0,5.0,10.0,5.0,10,10,10,10,10,7.0,7.0,8.0,8.0,8.0,4.0,5,5,1,8,7,7,6,2,7,6,6,8,7,8,8,7,6,0.29,1,8.0,0
female,27,32,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,3,'Elementary Education',20.0,20.0,20.0,20.0,10.0,10.0,10.0,20.0,20.0,15.0,20.0,15.0,5,8,7,8,8,4.0,7.0,6.0,7.0,5.0,5.0,10,8,10,9,8,9,10,1,5,10,7,10,10,8,10,9,3,0.34,3,6.0,0
female,28,25,European/Caucasian-American,European/Caucasian-American,1,10,10,'Education Policy',24.0,15.0,20.0,20.0,8.0,13.0,15.0,20.0,35.0,15.0,5.0,10.0,8,9,6,10,9,6.0,5.0,5.0,3.0,1.0,3.0,4,5,2,8,8,7,6,5,9,9,9,8,7,8,10,9,7,0.55,3,2.0,0
male,27,24,European/Caucasian-American,European/Caucasian-American,1,4,6,Business,10.0,20.0,27.0,23.0,15.0,5.0,14.0,18.0,17.0,16.0,15.0,20.0,6,8,9,8,10,6.0,6.0,6.0,5.0,5.0,5.0,6,6,4,8,9,9,7,6,8,9,4,6,7,10,10,8,6,0.19,5,7.0,1
male,27,38,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,Business,15.0,15.0,20.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,6,7,8,8,9,5.0,6.0,6.0,6.0,8.0,8.0,4,6,8,9,6,7,8,6,6,7,7,8,9,7,10,2,1,0.61,6,6.0,1
male,24,23,Other,European/Caucasian-American,0,1,1,engineering,10.0,15.0,40.0,15.0,10.0,10.0,20.0,20.0,25.0,25.0,5.0,5.0,8,10,10,10,8,6.0,6.0,6.0,6.0,6.0,6.0,5,7,6,10,9,10,9,14,5,9,7,3,10,10,10,10,10,-0.13,10,6.0,1
male,32,29,European/Caucasian-American,European/Caucasian-American,1,1,1,'medical informatics',10.0,40.0,20.0,20.0,0.0,10.0,25.0,15.0,20.0,25.0,10.0,5.0,8,8,8,8,8,5.0,5.0,6.0,7.0,7.0,2.0,8,1,5,9,9,9,9,5,8,9,5,7,9,9,9,5,1,0.14,8,6.0,1
male,30,27,European/Caucasian-American,European/Caucasian-American,1,2,6,MBA,15.0,15.0,20.0,20.0,15.0,15.0,20.0,10.0,22.0,20.0,15.0,13.0,7,10,9,8,8,6.0,7.0,7.0,5.0,6.0,5.0,9,7,5,9,6,5,8,2,5,9,6,7,7,2,4,4,3,0.44,4,6.0,0
male,27,33,European/Caucasian-American,'Latino/Hispanic American',0,3,1,MBA,40.0,15.0,25.0,5.0,15.0,0.0,40.0,0.0,10.0,50.0,0.0,0.0,10,8,10,10,10,6.0,10.0,9.0,5.0,5.0,5.0,10,7,7,3,3,3,3,3,3,4,5,3,6,10,10,1,7,-0.52,6,6.0,0
female,27,26,'Latino/Hispanic American',European/Caucasian-American,0,3,6,'Master in Public Administration',21.28,17.02,21.28,12.77,6.38,21.28,14.29,18.37,18.37,16.33,18.37,14.29,7,9,7,8,9,7.0,10.0,10.0,7.0,10.0,5.0,8,5,8,8,8,8,8,6,9,8,8,8,8,6,7,8,3,0.11,5,8.0,1
male,28,26,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,7,2,Physics,18.0,18.0,20.0,18.0,16.0,10.0,15.91,20.45,20.45,20.45,11.36,11.36,5,9,8,9,7,6.0,6.0,6.0,6.0,6.0,3.0,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,0.55,6,5.0,0
female,29,20,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',1,1,1,medicine,30.0,10.0,10.0,30.0,10.0,10.0,10.0,20.0,25.0,25.0,10.0,10.0,4,9,5,8,6,3.0,7.0,2.0,3.0,3.0,3.0,1,1,1,10,10,10,2,1,3,10,5,10,10,6,6,10,1,0.01,4,5.0,0
female,30,23,European/Caucasian-American,'Black/African American',0,4,8,'Educational Psychology',20.0,25.0,25.0,10.0,10.0,10.0,30.0,20.0,30.0,10.0,0.0,10.0,6,8,6,8,8,7.0,7.0,6.0,6.0,6.0,4.0,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9,-0.15,4,5.0,0
male,29,21,European/Caucasian-American,European/Caucasian-American,1,3,3,Business,25.0,25.0,15.0,15.0,10.0,10.0,30.0,15.0,15.0,20.0,10.0,10.0,6,8,7,7,8,6.0,7.0,7.0,7.0,7.0,6.0,7,4,4,8,5,5,4,2,7,5,2,6,8,6,7,2,1,0.28,6,6.0,0
male,25,22,European/Caucasian-American,European/Caucasian-American,1,7,8,'Computer Science',10.0,30.0,20.0,10.0,15.0,15.0,24.0,15.0,20.0,20.0,8.0,13.0,7,6,8,7,4,7.0,7.0,7.0,8.0,6.0,4.0,2,2,3,7,6,6,3,8,5,9,8,7,9,5,6,5,3,0.5,6,5.0,0
male,23,29,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,3,1,'Museum Anthropology',10.0,47.0,16.0,12.0,3.0,12.0,25.0,5.0,30.0,15.0,5.0,20.0,8,7,7,9,9,5.0,7.0,8.0,4.0,8.0,5.0,7,7,5,7,9,8,10,5,3,8,5,6,9,7,8,2,1,0.1,5,5.0,0
male,28,22,European/Caucasian-American,European/Caucasian-American,1,7,4,MBA,20.0,10.0,20.0,20.0,20.0,10.0,50.0,10.0,10.0,10.0,10.0,10.0,8,6,9,9,9,6.0,8.0,6.0,8.0,6.0,8.0,7,8,7,7,6,6,3,1,6,7,2,2,2,5,9,4,1,0.31,7,6.0,0
male,29,24,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,3,3,Business,10.0,40.0,10.0,20.0,10.0,10.0,30.0,15.0,15.0,20.0,10.0,10.0,6,8,7,7,8,6.0,7.0,7.0,6.0,6.0,5.0,7,4,4,8,5,5,4,2,7,5,2,6,8,6,7,2,1,0.57,6,5.0,0
female,24,22,European/Caucasian-American,European/Caucasian-American,1,1,6,'Creative Writing [Nonfiction]',20.0,25.0,20.0,15.0,5.0,15.0,18.0,19.0,16.0,15.0,15.0,17.0,9,8,7,7,7,3.0,5.0,6.0,6.0,8.0,4.0,3,1,4,9,8,8,10,1,1,10,6,9,9,8,7,7,2,0.0,6,4.0,0
male,31,22,European/Caucasian-American,European/Caucasian-American,1,3,1,MBA,8.0,20.0,25.0,25.0,12.0,10.0,10.0,20.0,40.0,10.0,10.0,10.0,7,8,4,10,8,5.0,5.0,5.0,5.0,5.0,5.0,1,1,6,6,7,5,1,1,3,10,1,6,6,3,7,1,1,0.68,4,5.0,1
male,29,24,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,Business,10.0,20.0,20.0,15.0,20.0,15.0,15.0,20.0,20.0,20.0,5.0,20.0,5,10,7,10,8,8.0,8.0,8.0,8.0,8.0,8.0,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,0.31,5,8.0,1
male,25,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,Film,15.0,15.0,20.0,15.0,20.0,15.0,15.0,10.0,30.0,10.0,5.0,30.0,6,9,8,9,8,7.0,10.0,7.0,6.0,6.0,7.0,2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5,3,0.3,5,5.0,0
female,23,25,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,8,9,sociology,15.0,30.0,20.0,20.0,10.0,5.0,20.0,20.0,20.0,15.0,5.0,20.0,8,10,8,9,7,5.0,6.0,6.0,6.0,6.0,2.0,5,3,7,7,8,10,2,2,1,8,6,10,8,9,10,6,7,0.21,7,4.0,0
female,26,27,Other,European/Caucasian-American,0,1,1,'Masters in Public Administration',33.33,11.11,11.11,11.11,11.11,22.22,20.0,10.0,20.0,30.0,10.0,10.0,7,6,10,7,7,6.0,7.0,8.0,7.0,9.0,6.0,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.1,6,7.0,1
female,25,24,European/Caucasian-American,European/Caucasian-American,1,8,4,Economics,100.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,35.0,10.0,10.0,0.0,8,9,8,9,8,8.0,7.0,9.0,7.0,9.0,7.0,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.47,4,8.0,0
female,22,25,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,1,Communications,15.0,10.0,30.0,10.0,5.0,30.0,15.0,20.0,20.0,20.0,5.0,20.0,7,9,9,9,4,6.0,7.0,7.0,7.0,5.0,7.0,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2,0.73,6,7.0,1
female,25,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,5,'Theatre Management & Producing',20.0,15.0,20.0,20.0,10.0,15.0,15.0,18.0,18.0,18.0,15.0,16.0,8,10,10,10,8,7.0,9.0,9.0,7.0,7.0,4.0,3,8,7,10,10,10,7,7,7,10,9,10,10,10,10,7,7,0.01,4,7.0,0
female,28,21,European/Caucasian-American,European/Caucasian-American,1,1,1,'Social Work',35.0,5.0,30.0,20.0,5.0,5.0,15.0,30.0,30.0,10.0,10.0,5.0,7,8,8,8,8,9.0,10.0,10.0,8.0,10.0,8.0,2,2,2,10,10,10,7,1,6,6,4,9,8,8,7,5,5,0.03,4,9.0,1
female,28,27,European/Caucasian-American,European/Caucasian-American,1,1,10,'Speech Pathology',19.0,13.0,18.0,18.0,10.0,22.0,5.0,20.0,25.0,25.0,15.0,10.0,6,10,10,8,8,6.0,9.0,8.0,7.0,5.0,5.0,10,1,8,7,7,8,2,1,4,8,1,8,9,7,7,8,9,0.25,6,6.0,0
female,22,24,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,'Mechanical Engineering',20.0,20.0,20.0,20.0,10.0,10.0,20.0,20.0,10.0,15.0,5.0,30.0,3,9,9,9,7,7.0,8.0,7.0,8.0,8.0,8.0,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6,3,-0.2,8,7.0,1
female,25,30,'Asian/Pacific Islander/Asian-American','Black/African American',0,1,5,'Theatre Management & Producing',30.0,25.0,20.0,15.0,5.0,5.0,15.0,18.0,18.0,18.0,15.0,16.0,8,10,10,10,8,5.0,8.0,9.0,8.0,9.0,7.0,3,8,7,10,10,10,7,7,7,10,9,10,10,10,10,7,7,0.44,4,6.0,1
