priceRange,alcohol,noiseLevel,attire,delivery,parking,waiterService,outdoorSeating,caters,goodForGroups,goodForKids
$$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$$,none,,,,lot,,,,,
$$,full_bar,average,casual,No,lot,No,Yes,,Yes,
$$$,full_bar,average,casual,Yes,,Yes,,,Yes,
$,none,average,casual,No,lot,No,No,No,Yes,
$$,full_bar,average,casual,No,street,Yes,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,average,casual,No,lot,Yes,No,No,Yes,
$,none,average,casual,No,,Yes,No,No,Yes,
$$$$,none,,,No,,,,,No,
$,none,very_loud,casual,No,,No,No,No,Yes,
$$,none,,casual,No,,,Yes,,Yes,
$$,none,,,,garage,,,,,
$,none,quiet,casual,No,lot,Yes,No,No,Yes,
$$$,none,,,,lot,,,,,
$,none,quiet,casual,No,lot,No,Yes,No,Yes,
$,none,average,casual,No,lot,Yes,Yes,No,Yes,
$,none,quiet,casual,No,street,Yes,No,,Yes,
$,none,,casual,No,,Yes,Yes,,No,Yes
$,none,average,casual,No,,No,Yes,Yes,Yes,
$,none,quiet,casual,Yes,,No,No,Yes,Yes,
$,none,average,casual,Yes,lot,No,Yes,Yes,Yes,
$,none,average,casual,No,,Yes,No,,Yes,
$,beer_and_wine,average,casual,Yes,lot,No,No,No,Yes,
$,none,average,casual,No,,,No,,Yes,
$$,none,,casual,No,,,,,No,
$,none,average,casual,No,lot,Yes,No,Yes,Yes,
$,beer_and_wine,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,,,,lot,,,,,
$$,full_bar,average,casual,No,,Yes,Yes,No,Yes,
$$,beer_and_wine,average,casual,Yes,lot,No,No,Yes,Yes,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,average,casual,No,lot,No,Yes,Yes,Yes,Yes
$$,none,,,,,,,,,
$$,full_bar,average,casual,No,lot,,Yes,Yes,Yes,
$,none,average,casual,Yes,street,Yes,Yes,Yes,No,
$,none,,,,lot,,,,,
$,none,,,,,Yes,,,,
$$$,full_bar,average,casual,No,valet,No,Yes,No,Yes,
$,none,average,casual,No,,Yes,No,,Yes,
$,none,average,casual,Yes,,Yes,Yes,,Yes,
$$,full_bar,average,casual,No,,Yes,No,No,Yes,
$$$,full_bar,average,dressy,No,valet,No,Yes,Yes,Yes,No
$,none,average,casual,No,street,Yes,No,No,Yes,
$$,full_bar,loud,casual,No,street,Yes,No,,Yes,
$$,none,,,,,,,,,
$$,full_bar,average,casual,No,garage,Yes,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$,none,average,casual,No,lot,,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,No,,Yes,
$,none,average,casual,No,lot,No,No,Yes,Yes,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,,casual,,,No,No,No,Yes,
$$,full_bar,average,casual,Yes,,Yes,No,Yes,Yes,
$,none,quiet,casual,No,,No,No,,Yes,
$,none,average,casual,Yes,,Yes,No,Yes,No,
$$,none,,,No,valet,,,,,
$$,full_bar,average,casual,No,garage,Yes,No,No,Yes,No
$$$,full_bar,,,,,,Yes,,Yes,
$$,full_bar,average,casual,No,garage,No,No,No,Yes,Yes
$,full_bar,,,,,,No,,,
$,beer_and_wine,average,casual,No,lot,No,No,Yes,Yes,
$,none,loud,casual,No,,No,No,No,Yes,
$$,none,average,casual,Yes,lot,Yes,Yes,No,Yes,
$$,full_bar,average,casual,No,garage,No,Yes,Yes,Yes,
$,none,,,,street,,,,,
$$,beer_and_wine,average,casual,No,lot,,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$,none,,,,lot,,,,,
$$,none,,casual,Yes,,,,,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$$,none,,,Yes,lot,Yes,,,,
$$,none,,,,,,,,,
$,none,average,casual,Yes,lot,No,No,Yes,Yes,
$,full_bar,average,,,lot,Yes,Yes,,Yes,
$,none,quiet,casual,Yes,,No,No,,Yes,
$$,full_bar,loud,casual,,street,Yes,Yes,Yes,Yes,
$$,none,average,casual,Yes,,Yes,No,Yes,Yes,
$$,full_bar,,casual,No,lot,Yes,Yes,,Yes,
$,none,,,,street,,Yes,,,
$,none,,,,lot,,Yes,,,
$$,beer_and_wine,average,casual,No,lot,No,No,Yes,Yes,
$$,none,average,casual,No,street,No,Yes,No,Yes,
$,none,,,,street,,Yes,,,
$,none,quiet,casual,No,lot,No,No,,Yes,
$$$,full_bar,average,dressy,No,,No,No,,Yes,
$,none,quiet,casual,No,lot,Yes,No,Yes,Yes,
$$,beer_and_wine,average,,,,Yes,Yes,,Yes,
$$,full_bar,,casual,,street,No,Yes,,Yes,
$$,full_bar,average,casual,No,garage,,No,Yes,Yes,
$$,none,,,,street,,Yes,,,
$,none,,,,lot,,,,,
$$,full_bar,average,casual,No,lot,No,No,No,Yes,
$,none,average,casual,No,lot,Yes,No,No,Yes,
$,none,,,,,,Yes,,,
$$,beer_and_wine,average,casual,No,lot,No,Yes,Yes,Yes,
$$,full_bar,average,casual,No,valet,Yes,Yes,,Yes,
$,none,quiet,casual,No,,Yes,No,,Yes,
$$,beer_and_wine,average,,,street,,Yes,,Yes,
$,none,average,casual,,,,Yes,,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,No,Yes,
$,full_bar,average,casual,No,,Yes,No,No,Yes,
$$,beer_and_wine,quiet,casual,,street,Yes,No,No,Yes,
$$,full_bar,average,casual,No,lot,No,Yes,Yes,Yes,
$,full_bar,average,casual,No,,Yes,No,No,Yes,
$$,full_bar,average,casual,No,street,No,Yes,Yes,Yes,
$$,full_bar,average,,,street,,Yes,,Yes,
$,none,,casual,No,,,No,,Yes,
$,none,,casual,,,,,,Yes,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,loud,casual,,,,No,,Yes,
$,none,,casual,No,,,No,,Yes,
$$,none,average,casual,Yes,lot,Yes,Yes,Yes,Yes,
$$,none,average,casual,Yes,lot,Yes,No,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,No,No,,Yes,
$$,full_bar,average,casual,No,lot,No,Yes,No,Yes,Yes
$$,none,,casual,No,,Yes,No,,Yes,
$,none,,,,,,,,,
$,none,average,casual,No,lot,Yes,Yes,No,Yes,Yes
$$,none,,casual,,street,,Yes,,,
$$,full_bar,average,casual,No,lot,Yes,Yes,No,Yes,
$,none,,,,,,,,,
$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,No,Yes,Yes,Yes
$$,full_bar,average,,,street,,Yes,,Yes,
$$,full_bar,quiet,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,,casual,Yes,,Yes,,,No,
$$,full_bar,average,,,,Yes,No,,Yes,
$$,none,,,,lot,,,,,
$$,full_bar,loud,,,lot,,Yes,,Yes,
$,none,,casual,No,,,No,,No,
$$,full_bar,average,casual,No,valet,Yes,Yes,Yes,Yes,
$$,none,quiet,casual,No,street,No,No,No,Yes,
$,none,average,casual,No,lot,Yes,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$$,none,quiet,casual,No,,No,Yes,No,Yes,
$,none,,casual,No,,,No,,Yes,
$$,full_bar,quiet,,,,Yes,No,,Yes,
$,full_bar,quiet,casual,No,lot,Yes,No,No,Yes,
$,none,,,,lot,,No,,,
$,none,quiet,casual,No,lot,Yes,No,Yes,Yes,
$,none,,casual,Yes,,,Yes,,No,
$$$,full_bar,very_loud,formal,No,,Yes,No,No,Yes,
$$,none,,,,street,Yes,,,,
$$,full_bar,average,casual,No,street,No,Yes,No,Yes,
$,beer_and_wine,,casual,No,lot,Yes,Yes,,Yes,
$$,full_bar,average,casual,Yes,street,No,Yes,No,Yes,Yes
$,none,average,casual,No,,Yes,No,,Yes,
$,none,average,casual,No,,No,,,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,full_bar,average,,,,Yes,Yes,,Yes,
$,none,average,casual,No,lot,Yes,No,,No,
$,none,quiet,casual,No,lot,No,No,No,Yes,
$,none,average,casual,Yes,lot,,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,No,street,Yes,No,No,Yes,
$$,beer_and_wine,quiet,casual,No,lot,No,No,No,Yes,
$$,none,average,casual,No,,,,,Yes,
$,none,average,casual,No,lot,No,No,Yes,Yes,
$$,none,,,,lot,,,,,
$$,beer_and_wine,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,average,casual,No,street,Yes,Yes,Yes,Yes,Yes
$$,none,,,,lot,,,,,
$$,none,average,casual,No,lot,No,No,No,Yes,
$,none,quiet,casual,No,,No,Yes,No,Yes,
$,beer_and_wine,average,casual,No,lot,No,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,,Yes,
$$$,full_bar,loud,casual,No,,Yes,No,,Yes,
$,none,quiet,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,lot,No,Yes,Yes,Yes,
$,full_bar,,,,,Yes,Yes,,Yes,
$$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,loud,,,lot,,No,,Yes,
$$,none,average,casual,No,lot,Yes,Yes,Yes,No,Yes
$,none,loud,casual,No,street,No,Yes,No,Yes,
$,none,average,casual,Yes,lot,Yes,Yes,Yes,Yes,Yes
$$,none,average,casual,No,lot,No,Yes,No,Yes,
$$,none,,casual,No,,No,No,,Yes,
$,none,,,,,,,,,
$,none,average,casual,Yes,street,Yes,No,Yes,Yes,
$$,full_bar,very_loud,casual,No,valet,Yes,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,No,Yes,No,Yes,
$,none,,casual,No,,,Yes,,,
$,none,average,casual,No,lot,No,Yes,Yes,Yes,
$,none,quiet,casual,No,,Yes,No,,No,
$$,none,average,casual,No,lot,No,No,Yes,Yes,
$$$$,full_bar,average,dressy,No,valet,Yes,No,Yes,Yes,No
$,none,quiet,casual,Yes,,Yes,Yes,Yes,Yes,
$,none,average,casual,,,No,No,,Yes,
$$,none,average,casual,No,lot,No,No,Yes,Yes,
$,beer_and_wine,average,casual,No,,No,Yes,Yes,Yes,
$,none,,casual,No,,,No,No,No,
$,beer_and_wine,average,casual,Yes,lot,Yes,Yes,Yes,Yes,
$,none,,,,lot,,,,,
$,beer_and_wine,average,casual,No,,No,No,No,Yes,
$,none,,casual,No,,,Yes,,No,
$,none,average,casual,No,,,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,,Yes,
$$,none,,,,lot,,,,,
$$$,none,,,,lot,,,,,
$$,none,,,,street,,,,,
$$,full_bar,average,casual,No,lot,,Yes,No,Yes,
$$,full_bar,average,casual,No,garage,No,No,No,Yes,
$$,full_bar,quiet,casual,No,street,Yes,Yes,,No,
$$,none,loud,casual,No,garage,No,No,,Yes,Yes
$$,full_bar,average,casual,No,street,,No,,Yes,
$,none,average,,No,,,,,No,
$$,none,average,casual,,street,,Yes,,Yes,
$$,full_bar,loud,,,street,No,Yes,,Yes,
$,none,average,casual,No,,,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,,Yes,
$,none,average,casual,No,street,No,Yes,No,Yes,
$$,none,,,,lot,,,,,
$,none,quiet,casual,No,lot,Yes,No,No,Yes,
$$$,full_bar,average,,,garage,Yes,Yes,,Yes,
$,none,quiet,casual,No,,No,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,beer_and_wine,average,casual,No,lot,Yes,Yes,Yes,Yes,Yes
$$,full_bar,average,casual,No,garage,Yes,Yes,No,Yes,Yes
$$,none,,,,lot,Yes,,,,
$,none,,,,lot,,,,,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$$,full_bar,quiet,dressy,No,street,Yes,Yes,No,Yes,
$,beer_and_wine,quiet,casual,No,lot,No,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,No,No,Yes,
$,none,,,,,,,Yes,,
$$,none,quiet,casual,Yes,lot,Yes,No,No,Yes,
$,none,,casual,Yes,,,Yes,,Yes,
$,full_bar,average,,,lot,,No,,Yes,
$,none,,,,lot,,,,,
$$$,full_bar,average,casual,No,valet,No,No,No,Yes,
$$$,full_bar,quiet,dressy,No,,Yes,Yes,Yes,Yes,
$,none,,,,,,Yes,,,
$,none,quiet,casual,No,,,No,,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$$$,none,,,No,lot,,,,,
$,none,average,casual,No,,,No,No,No,
$,none,average,casual,No,,Yes,No,No,No,
$,none,,,,lot,,,,,
$,none,quiet,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,,,,,,,,,
$$,beer_and_wine,quiet,casual,No,street,Yes,No,,Yes,
$$,none,loud,casual,No,,,No,,Yes,
$,beer_and_wine,,casual,No,,No,No,,Yes,
$,none,quiet,casual,No,,Yes,No,No,Yes,
$,none,average,casual,No,lot,Yes,No,,Yes,
$$,full_bar,quiet,casual,No,lot,Yes,No,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,No,No,Yes,
$$,none,,,,street,,,,,
$,none,loud,casual,No,lot,No,Yes,,Yes,
$,beer_and_wine,average,casual,No,lot,No,Yes,Yes,Yes,
$$,none,,,,lot,,,,,
$,full_bar,average,casual,No,street,Yes,No,,Yes,
$,none,,casual,No,,,No,,Yes,
$$$,full_bar,quiet,dressy,No,lot,Yes,Yes,No,Yes,No
$$,none,,,,street,,Yes,,,
$,none,,,,street,,,,,
$,none,average,casual,No,,Yes,No,No,Yes,
$,none,loud,casual,No,,Yes,No,,Yes,
$$,full_bar,average,casual,No,,No,No,No,Yes,
$,none,quiet,casual,Yes,lot,Yes,Yes,Yes,Yes,Yes
$,none,average,casual,No,lot,No,No,No,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,No,Yes,Yes,
$$$,full_bar,quiet,casual,No,,Yes,Yes,No,Yes,
$$,full_bar,very_loud,formal,No,lot,No,Yes,No,Yes,
$$,beer_and_wine,average,,,lot,No,Yes,,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,No,No,Yes,
$,none,,casual,No,,No,,,Yes,
$,none,,casual,No,lot,No,No,,Yes,
$,none,average,casual,No,lot,Yes,No,Yes,No,
$$,none,,,,street,,,,,
$,full_bar,loud,,,lot,,Yes,,Yes,
$,none,,,,,No,,,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,No,Yes,
$$,full_bar,average,casual,No,garage,Yes,No,,Yes,
$$,none,average,casual,No,,,No,No,Yes,
$,none,,casual,No,lot,,Yes,,No,
$$,full_bar,average,casual,No,lot,No,Yes,No,Yes,
$,none,very_loud,casual,Yes,lot,No,Yes,Yes,No,
$,none,,casual,Yes,,No,Yes,,Yes,
$$$,full_bar,loud,casual,No,,No,No,No,Yes,
$,none,average,,Yes,,,,No,,
$,full_bar,loud,casual,No,,Yes,Yes,Yes,Yes,
$$,none,,casual,Yes,,,No,,Yes,
$,full_bar,average,,,,Yes,Yes,,Yes,
$$,full_bar,loud,casual,No,lot,No,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,Yes,No,Yes,Yes
$$,beer_and_wine,,,,lot,No,No,,Yes,
$,none,average,casual,No,lot,No,No,,Yes,
$,none,average,casual,No,,,Yes,No,Yes,
$,beer_and_wine,quiet,casual,No,lot,No,No,Yes,Yes,Yes
$,none,quiet,casual,No,,Yes,No,,Yes,
$$,full_bar,,casual,No,garage,Yes,No,,Yes,Yes
$$$,full_bar,average,dressy,No,valet,No,Yes,Yes,Yes,No
$,none,quiet,casual,No,garage,No,No,Yes,Yes,
$,none,,,,valet,Yes,,,,
$$,full_bar,average,casual,No,street,No,No,,Yes,Yes
$$,full_bar,average,casual,No,,Yes,No,No,Yes,
$$,full_bar,average,dressy,No,valet,Yes,Yes,Yes,Yes,
$,none,,,,lot,,,,,
$$,none,quiet,casual,No,,Yes,No,,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,No,No,Yes,Yes
$,none,quiet,casual,No,lot,No,Yes,Yes,Yes,
$,none,quiet,casual,Yes,lot,No,No,Yes,No,Yes
$$,none,,,,street,,,,,
$$,none,average,casual,No,,Yes,No,,Yes,
$,none,average,casual,No,,No,,,Yes,
$$,full_bar,loud,casual,No,lot,,Yes,Yes,Yes,No
$,none,,,No,lot,,,,,
$$,full_bar,average,casual,,,Yes,Yes,,Yes,
$$,full_bar,loud,,,,No,No,,Yes,
$,none,,,,lot,,,,,
$$,full_bar,quiet,casual,No,garage,No,No,,Yes,
$$,none,,,,,Yes,,,,
$$,beer_and_wine,average,casual,No,lot,Yes,No,No,Yes,
$$,full_bar,quiet,casual,No,,Yes,Yes,,Yes,
$,none,,,,lot,,,,,
$,none,average,casual,No,street,Yes,Yes,No,No,
$$$,full_bar,loud,,,street,Yes,No,,Yes,
$,none,average,casual,No,lot,Yes,Yes,No,Yes,
$$,full_bar,loud,casual,No,lot,No,Yes,No,Yes,
$,none,average,casual,No,street,Yes,Yes,,Yes,
$$$,full_bar,average,casual,No,lot,No,No,No,Yes,Yes
$$,beer_and_wine,average,,,lot,,No,,Yes,
$$,none,,,,lot,,,,,
$$,none,,,,,,,,,
$$,none,average,casual,Yes,,Yes,No,,Yes,
$$,full_bar,average,casual,Yes,,Yes,Yes,Yes,Yes,
$,none,,,,,,,,,
$,none,average,casual,Yes,lot,No,No,,Yes,
$,none,average,casual,No,,,Yes,,Yes,
$$,full_bar,average,casual,No,lot,No,No,No,Yes,No
$$,full_bar,average,casual,No,street,No,Yes,,Yes,
$,none,,,No,street,,,,,
$,none,loud,casual,No,,,Yes,No,Yes,
$,full_bar,average,casual,No,,Yes,Yes,,Yes,
$$,none,,,,lot,,,,,
$$,full_bar,average,casual,,street,Yes,No,Yes,Yes,
$$$$,none,average,,,,,No,,Yes,
$$,beer_and_wine,average,casual,No,street,No,No,Yes,No,
$$,none,,,,,,,,,
$$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,No,Yes,Yes,Yes
$,none,average,casual,No,,Yes,Yes,No,No,
$,none,very_loud,casual,No,,Yes,Yes,,Yes,
$,none,,,,lot,,,,,
$,none,,,,,,,,,
$,none,average,casual,No,lot,,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,,,,,,,,,
$$,full_bar,average,casual,No,valet,Yes,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,No,No,Yes,Yes,Yes
$$,full_bar,loud,casual,No,lot,Yes,Yes,,Yes,
$,none,,,,lot,,No,,,
$$,full_bar,average,casual,No,street,Yes,Yes,No,Yes,
$,full_bar,average,casual,Yes,lot,No,No,Yes,Yes,
$,none,average,casual,No,,Yes,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,,Yes,
$,none,quiet,casual,Yes,,No,Yes,Yes,Yes,
$$,full_bar,quiet,casual,No,lot,Yes,No,No,Yes,
$,none,quiet,casual,No,lot,Yes,No,Yes,Yes,
$$,full_bar,loud,casual,,,No,No,,Yes,
$$,beer_and_wine,average,casual,No,garage,No,No,No,Yes,Yes
$$,none,,,,lot,,Yes,,,
$$$,full_bar,loud,,,garage,Yes,No,,Yes,
$,none,average,casual,No,,No,No,No,Yes,
$$,none,,casual,No,,,,,Yes,
$$,full_bar,loud,,,,No,No,,Yes,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,loud,casual,No,lot,No,No,No,Yes,Yes
$,none,loud,casual,No,,Yes,No,,Yes,
$$$,none,,,,,,,,,
$$,full_bar,average,casual,No,valet,Yes,No,Yes,Yes,Yes
$,none,quiet,casual,,street,Yes,No,,Yes,
$$,none,quiet,casual,Yes,lot,No,No,Yes,Yes,
$$,none,,,,lot,,,,,
$$,none,,,,,,,,,
$$$,full_bar,average,dressy,Yes,valet,Yes,No,Yes,Yes,No
$,none,,,,lot,,,,,
$$,none,,casual,Yes,,,No,,Yes,
$$,full_bar,average,casual,Yes,lot,Yes,No,Yes,Yes,Yes
$$,full_bar,quiet,casual,Yes,,Yes,No,,Yes,
$$,none,average,casual,No,,Yes,Yes,Yes,No,
$,none,average,casual,No,lot,Yes,No,,Yes,
$,none,quiet,casual,No,lot,Yes,No,Yes,Yes,
$$,full_bar,average,casual,No,street,No,Yes,Yes,Yes,Yes
$$$,full_bar,average,casual,Yes,,Yes,Yes,,Yes,
$$,none,,,,,,,,,
$$,none,average,casual,No,lot,No,Yes,Yes,Yes,
$,none,,casual,No,,No,No,,Yes,
$$,beer_and_wine,average,casual,No,garage,Yes,No,No,No,
$$,full_bar,average,casual,No,street,Yes,Yes,Yes,Yes,
$$,full_bar,very_loud,casual,No,,No,Yes,No,Yes,
$,none,loud,casual,No,street,Yes,No,,Yes,
$$,none,average,casual,Yes,street,Yes,No,No,Yes,
$,beer_and_wine,quiet,casual,No,lot,,No,Yes,Yes,
$$,full_bar,loud,,,garage,Yes,No,,Yes,
$$,full_bar,average,casual,No,,,No,No,Yes,
$,none,average,casual,No,lot,No,No,Yes,Yes,
$,none,average,casual,Yes,lot,No,Yes,Yes,Yes,Yes
$,beer_and_wine,quiet,casual,No,lot,No,No,,Yes,
$,none,,,,lot,,,,,
$$,full_bar,very_loud,casual,No,garage,Yes,No,No,Yes,
$$$,none,,,,,,,,,
$$$,none,,,Yes,,,,,,
$,beer_and_wine,average,casual,Yes,,Yes,Yes,Yes,Yes,
$,none,average,casual,Yes,street,No,No,No,No,
$,none,quiet,casual,No,,Yes,Yes,No,Yes,
$,none,average,casual,No,,No,No,No,Yes,
$$,none,quiet,casual,No,street,Yes,No,,Yes,
$,none,,,,,,,,,
$,beer_and_wine,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,,,,street,,,,,
$,none,,,,lot,Yes,,,,
$$,beer_and_wine,quiet,casual,No,,Yes,Yes,,Yes,
$$,full_bar,quiet,casual,Yes,lot,Yes,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,,,,lot,,,,,
$$,none,,,,,Yes,,,,
$,none,average,casual,No,,No,Yes,,Yes,
$$,none,,,,,,Yes,,,
$$,none,average,casual,Yes,,No,No,Yes,Yes,
$$,none,,,,lot,,,,,
$,none,very_loud,casual,No,lot,No,No,Yes,No,
$$,full_bar,average,casual,No,street,Yes,Yes,Yes,Yes,Yes
$$,none,,,No,street,,Yes,,,
$$,none,average,casual,No,lot,Yes,No,No,Yes,
$,none,average,casual,No,,No,No,Yes,No,
$,none,,,No,lot,,,,,
$$,none,average,casual,,lot,No,Yes,Yes,Yes,
$,none,average,casual,No,,No,No,No,Yes,
$,none,,casual,Yes,,,,Yes,Yes,
$$,none,average,casual,No,,No,No,No,Yes,
$$,full_bar,average,casual,No,lot,No,Yes,Yes,Yes,
$$,none,,,,,,,Yes,,
$$,none,,,,,,,,,
$,none,,,,,,,,,
$,beer_and_wine,average,casual,Yes,lot,Yes,Yes,Yes,Yes,
$,none,average,casual,No,lot,Yes,No,No,No,
$$,full_bar,average,,,,,No,,Yes,
$,beer_and_wine,quiet,casual,No,lot,No,No,Yes,Yes,No
$,none,average,casual,No,street,No,Yes,Yes,No,
$$,none,,,,,,Yes,,,
$,none,,,,,,,,,
$$,none,quiet,casual,Yes,lot,No,No,,No,
$,none,average,casual,No,,No,No,No,Yes,
$$,full_bar,quiet,casual,No,,Yes,Yes,,Yes,
$,none,average,casual,No,,Yes,No,,No,
$,none,average,casual,No,lot,No,Yes,No,Yes,
$$$$,full_bar,average,dressy,No,valet,Yes,No,No,Yes,No
$,none,,,,,,,,,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,lot,No,No,No,Yes,
$,none,,,,lot,,,,,
$$$$,beer_and_wine,quiet,dressy,No,lot,Yes,No,No,No,
$$,beer_and_wine,average,,No,,Yes,Yes,,Yes,
$,none,average,casual,,,,No,,Yes,
$$,beer_and_wine,loud,casual,No,lot,Yes,No,Yes,Yes,
$$$,none,,,,lot,,No,,,
$$,none,,,,lot,Yes,,,,
$,none,average,casual,Yes,lot,No,Yes,Yes,No,
$,none,,,,lot,,Yes,,,
$$,beer_and_wine,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,average,casual,No,street,No,Yes,Yes,Yes,
$,none,average,casual,No,lot,No,No,No,Yes,
$$,full_bar,average,casual,Yes,lot,Yes,Yes,Yes,Yes,Yes
$$,beer_and_wine,average,casual,No,lot,Yes,No,No,Yes,
$,beer_and_wine,average,casual,Yes,valet,No,Yes,Yes,Yes,
$$$,full_bar,average,,,valet,,Yes,,Yes,
$,none,average,casual,No,lot,Yes,No,No,No,
$,none,,casual,No,,,No,,Yes,
$$,none,,,,lot,,,,,
$,none,,casual,No,,,Yes,No,Yes,
$,none,average,casual,No,,,Yes,,Yes,
$,none,,,,lot,,Yes,,,
$$,none,,,,lot,Yes,,,,
$,none,average,casual,No,street,No,Yes,Yes,Yes,
$$,beer_and_wine,quiet,casual,Yes,lot,No,No,Yes,Yes,
$,none,average,casual,Yes,,No,No,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,,Yes,No,Yes,
$$,none,,,,lot,,,,,
$$,full_bar,,,,,,No,,Yes,
$$,full_bar,quiet,casual,No,lot,Yes,No,Yes,Yes,
$,none,,casual,Yes,,No,Yes,,No,
$$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,Yes
$$$,full_bar,average,casual,No,,Yes,Yes,No,Yes,
$$,none,,,,lot,,,,,
$,none,average,casual,No,lot,Yes,Yes,,Yes,
$,none,,casual,No,,No,No,No,Yes,
$,full_bar,,,,lot,,No,,Yes,
$$,full_bar,quiet,casual,No,lot,No,No,,Yes,
$,none,average,casual,No,lot,Yes,No,Yes,Yes,
$$,none,average,casual,,,Yes,Yes,,Yes,
$$,beer_and_wine,average,casual,No,lot,No,No,No,Yes,
$$,full_bar,loud,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,,,,street,,,,,
$$,none,average,casual,Yes,lot,Yes,No,Yes,Yes,
$$$,none,,,,,,,,,
$$,none,,,,lot,,,,,
$,none,average,casual,No,street,No,No,Yes,Yes,
$$,full_bar,average,casual,No,garage,No,Yes,No,Yes,
$,none,quiet,casual,No,lot,Yes,No,No,Yes,
$$$,full_bar,quiet,dressy,No,street,Yes,No,No,Yes,
$$,none,,,,,,,,,
$,none,average,casual,No,,Yes,No,,No,
$$,full_bar,very_loud,casual,No,,Yes,Yes,No,No,
$$,none,,,,,,,,,
$$,none,,,,lot,,,,,
$$,none,,,,,,No,,,
$$,full_bar,average,casual,No,street,Yes,Yes,,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,Yes,,Yes,Yes
$$,none,,,,lot,Yes,,,,
$,none,,,,,No,Yes,No,,
$,none,quiet,casual,No,,No,,No,Yes,
$,none,quiet,casual,No,,Yes,No,No,Yes,
$$,full_bar,average,casual,No,,Yes,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,No,No,Yes,Yes
$$,beer_and_wine,quiet,casual,No,lot,Yes,No,Yes,Yes,
$$,full_bar,loud,,,valet,,No,,Yes,
$,none,average,casual,No,street,No,No,No,No,
$$,none,average,casual,Yes,lot,Yes,No,Yes,Yes,
$,beer_and_wine,quiet,casual,No,lot,No,No,,Yes,
$$$,full_bar,average,casual,No,lot,Yes,No,No,Yes,
